CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_16;MFD_SETNO16;44.888833;59.281167;245450;50;09-mar-03;10:46:12;31.719;-1.337;4.5329;0.597174876033058;31.719;8.404
NED2003003_16;MFD_SETNO16;44.888833;59.281167;245451;25;09-mar-03;10:46:12;32.271;0.364;4.466;0.17007867768595;32.275;7.3245
NED2003003_17;MFD_SETNO17;45.187167;59.107;245452;96;09-mar-03;14:09:33;31.773;-1.423;4.6207;0.906775785123967;NaN;NaN
NED2003003_17;MFD_SETNO17;45.187167;59.107;245453;50;09-mar-03;14:09:33;31.772;-1.422;4.5822;0.860274462809917;NaN;NaN
NED2003003_17;MFD_SETNO17;45.187167;59.107;245454;25;09-mar-03;14:09:33;32.271;-0.158;4.3846;0.179645603305785;32.258;7.5715
NED2003003_17;MFD_SETNO17;45.187167;59.107;245455;5;09-mar-03;14:09:33;31.818;-1.584;4.5475;0.937368760330578;NaN;NaN
NED2003003_18;MFD_SETNO18;45.3175;58.877;245456;98;09-mar-03;16:48:09;31.769;-1.635;4.5207;0.768495537190083;NaN;NaN
NED2003003_18;MFD_SETNO18;45.3175;58.877;245457;50;09-mar-03;16:48:09;31.763;-1.628;4.4267;0.715875619834711;31.763;8.448
NED2003003_18;MFD_SETNO18;45.3175;58.877;245458;25;09-mar-03;16:48:09;32.057;-0.86;4.4793;0.301034876033058;32.055;8.0255
NED2003003_18;MFD_SETNO18;45.3175;58.877;245459;5;09-mar-03;16:48:09;31.899;-1.676;4.5073;0.874959090909091;NaN;NaN
NED2003003_19;MFD_SETNO19;45.3235;58.5895;245460;93;09-mar-03;20:14:42;31.895;-1.673;4.4417;0.874959090909091;NaN;NaN
NED2003003_19;MFD_SETNO19;45.3235;58.5895;245461;50;09-mar-03;20:14:42;31.849;-1.557;4.219;0.840694958677686;31.854;8.4075
NED2003003_19;MFD_SETNO19;45.3235;58.5895;245462;25;09-mar-03;20:14:42;32.354;-0.052;4.3591;0.170787338842975;32.352;7.547
NED2003003_19;MFD_SETNO19;45.3235;58.5895;245463;5;09-mar-03;20:14:42;31.966;-1.594;4.5425;0.720770495867769;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258864;173;06-mar-03;07:54:55;31.943;-1.564;4.5001;0.800312231404959;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258865;50;06-mar-03;07:54:55;31.938;-1.548;4.3346;0.77583785123967;31.944;8.32
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258866;25;06-mar-03;07:54:55;34.521;9.135;2.7667;0.0198425123966942;34.487;3.797
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258867;5;06-mar-03;07:54:55;31.995;0.27;4.495;0.597174876033058;NaN;NaN
NED2003003_20;MFD_SETNO20;44.89;58.782833;245464;184;10-mar-03;10:29:37;31.927;-0.034;4.4456;NaN;NaN;NaN
NED2003003_20;MFD_SETNO20;44.89;58.782833;245465;50;10-mar-03;10:29:37;31.823;-0.163;4.3129;0.644899917355372;31.778;8.252
NED2003003_20;MFD_SETNO20;44.89;58.782833;245466;25;10-mar-03;10:29:37;32.652;0.688;4.4041;0.141023570247934;32.651;7.2185
NED2003003_20;MFD_SETNO20;44.89;58.782833;245467;5;10-mar-03;10:29:37;31.894;-1.545;4.7553;1.77146202892562;NaN;NaN
NED2003003_21;MFD_SETNO21;44.897;58.251667;245468;144;10-mar-03;13:59:12;31.878;-1.55;4.6946;1.73581892975207;NaN;NaN
NED2003003_21;MFD_SETNO21;44.897;58.251667;245469;50;10-mar-03;13:59:12;31.877;-1.556;4.5353;1.85700546694215;31.885;8.608
NED2003003_21;MFD_SETNO21;44.897;58.251667;245471;5;10-mar-03;13:59:12;32.802;1.078;4.3105;0.120826727272727;32.797;7.092
NED2003003_22;MFD_SETNO22;45.038667;58.125;245472;126;10-mar-03;16:28:27;32.147;-1.436;4.7489;1.71799738016529;NaN;NaN
NED2003003_22;MFD_SETNO22;45.038667;58.125;245473;50;10-mar-03;16:28:27;32.108;-1.431;4.6262;1.71799738016529;32.109;8.635
NED2003003_22;MFD_SETNO22;45.038667;58.125;245474;25;10-mar-03;16:28:27;32.739;0.483;4.4187;0.199133785123967;32.723;7.4245
NED2003003_22;MFD_SETNO22;45.038667;58.125;245475;5;10-mar-03;16:28:27;32.029;-1.581;4.7105;1.08711452479339;NaN;NaN
NED2003003_23;MFD_SETNO23;44.973333;58.100333;245476;109;10-mar-03;18:56:00;32.014;-1.595;4.6605;1.20473675206612;NaN;NaN
NED2003003_23;MFD_SETNO23;44.973333;58.100333;245477;50;10-mar-03;18:56:00;31.995;-1.609;4.5115;1.14770779338843;31.993;8.567
NED2003003_23;MFD_SETNO23;44.973333;58.100333;245478;25;10-mar-03;18:56:00;32.808;0.719;4.5192;0.155905454545455;32.812;7.33
NED2003003_23;MFD_SETNO23;44.973333;58.100333;245479;5;10-mar-03;18:56:00;32.067;-1.546;4.8232;1.09278107438017;NaN;NaN
NED2003003_24;MFD_SETNO24;44.878667;58.041667;245480;63;10-mar-03;21:12:28;32.02;-1.558;4.7903;1.17109909090909;NaN;NaN
NED2003003_24;MFD_SETNO24;44.878667;58.041667;245481;50;10-mar-03;21:12:28;32.004;-1.521;4.7126;1.01446305785124;31.995;8.5615
NED2003003_24;MFD_SETNO24;44.878667;58.041667;245482;25;10-mar-03;21:12:28;32.392;-0.461;4.7424;0.384247768595041;32.387;7.997
NED2003003_24;MFD_SETNO24;44.878667;58.041667;245483;5;10-mar-03;21:12:28;32.216;-1.206;4.9134;1.17477024793388;NaN;NaN
NED2003003_25;MFD_SETNO25;44.921333;57.8905;245484;61;10-mar-03;22:38:00;32.149;-1.419;4.8809;1.88551994628099;NaN;NaN
