CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006036_20;MFD_SETNO20;45.9936;-59.285567;295930;49;23-jul-06;12:03:06;32.262;1.9464;5.23985;0.140047419354839;6.3265;0.81;5.5805;NaN;NaN
NED2006036_20;MFD_SETNO20;45.9936;-59.285567;295931;24;23-jul-06;12:03:06;31.6247;3.7092;5.41538;0.743719741935484;4.5085;0.6235;3.161;NaN;NaN
NED2006036_20;MFD_SETNO20;45.9936;-59.285567;295932;6;23-jul-06;12:03:06;29.9508;17.3157;4.28731;0.655481806451613;1.879;0.1535;0.0365;NaN;5.7485
NED2006036_21;MFD_SETNO21;46.3186;-59.2796;295933;140;23-jul-06;14:54:00;33.8131;4.0438;3.0764;0.024411935483871;17.752;1.37;15.2585;33.788;4.2675
NED2006036_21;MFD_SETNO21;46.3186;-59.2796;295934;51;23-jul-06;14:54:00;32.2717;1.6068;5.31485;0.244765161290323;2.747;0.6355;3.2875;NaN;NaN
NED2006036_21;MFD_SETNO21;46.3186;-59.2796;295935;25;23-jul-06;14:54:00;31.9185;4.6631;5.92721;0.514006838709677;1.1175;0.45;0.0695;NaN;NaN
NED2006036_21;MFD_SETNO21;46.3186;-59.2796;295936;6;23-jul-06;14:54:00;30.0272;17.0967;4.34735;0.587436387096774;1.5465;0.1495;0.013;NaN;5.679
NED2006036_22;MFD_SETNO22;46.4511;-59.310683;295937;149;23-jul-06;16:52:12;34.0456;4.6055;2.69448;0.0115635483870968;19.831;1.5075;16.8365;33.914;3.9215
NED2006036_22;MFD_SETNO22;46.4511;-59.310683;295938;50;23-jul-06;16:52:12;32.1895;2.2037;5.5804;0.310035870967742;1.344;0.4995;1.454;NaN;NaN
NED2006036_22;MFD_SETNO22;46.4511;-59.310683;295939;25;23-jul-06;16:52:12;30.8818;4.0964;5.33467;0.444656709677419;3.547;0.5545;1.952;NaN;NaN
NED2006036_22;MFD_SETNO22;46.4511;-59.310683;295940;6;23-jul-06;16:52:12;29.8798;16.0753;4.46949;0.806746838709677;2.0135;0.18;0.0705;NaN;5.9405
NED2006036_23;MFD_SETNO23;46.465783;-59.584683;295941;83;23-jul-06;20:07:05;32.5104;1.4342;4.90701;0.0359754838709677;7.0045;0.924;7.2905;32.518;6.739
NED2006036_23;MFD_SETNO23;46.465783;-59.584683;295942;50;23-jul-06;20:07:05;32.1487;1.8018;5.46731;0.281479935483871;3.176;0.6825;3.1035;NaN;NaN
