CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2004529_22;MFD_SETNO22;43.126517;63.459183;263855;150;08-jul-04;14:17:57;34.863;9.245;3.2008;0.013846511627907;0;1.091;16.4375;34.861;5.428
TEL2004529_22;MFD_SETNO22;43.126517;63.459183;263856;50;08-jul-04;14:17:57;32.662;2.409;4.3444;0.209916666666667;0;0.828;7.5725;NaN;NaN
TEL2004529_22;MFD_SETNO22;43.126517;63.459183;263857;25;08-jul-04;14:17:57;32.335;5.744;4.188;0.590695736434108;0;0.416;0.199;NaN;NaN
TEL2004529_22;MFD_SETNO22;43.126517;63.459183;263858;5;08-jul-04;14:17:57;31.707;14.525;4.2275;0.283143410852713;0;0.235;0.091;31.736;7.853
TEL2004529_23;MFD_SETNO23;43.31585;63.786983;263859;164;08-jul-04;17:09:32;34.647;8.826;2.4317;0.0190389534883721;0;1.394;19.0075;34.603;3.1315
TEL2004529_23;MFD_SETNO23;43.31585;63.786983;263860;50;08-jul-04;17:09:32;32.469;1.817;4.4469;0.503223062015504;5.1265;0.875;5.5825;NaN;NaN
TEL2004529_23;MFD_SETNO23;43.31585;63.786983;263861;25;08-jul-04;17:09:32;32.237;3.963;4.3675;1.1973238372093;1.507;0.442;0.2325;NaN;NaN
TEL2004529_23;MFD_SETNO23;43.31585;63.786983;263862;5;08-jul-04;17:09:32;31.202;13.147;4.5627;0.607338178294574;0.8915;0.273;0.093;31.337;7.0895
TEL2004529_24;MFD_SETNO24;43.1066;64.07555;263863;89;08-jul-04;20:09:18;32.471;1.846;4.553;0.122044573643411;6.232;0.905;6.524;32.483;7.2095
TEL2004529_24;MFD_SETNO24;43.1066;64.07555;263864;50;08-jul-04;20:09:18;32.377;1.626;4.4002;0.151335271317829;6.121;0.909;6.4625;NaN;NaN
TEL2004529_24;MFD_SETNO24;43.1066;64.07555;263865;25;08-jul-04;20:09:18;32.198;4.17;4.3305;0.624868217054263;3.811;0.3645;0.342;NaN;NaN
TEL2004529_24;MFD_SETNO24;43.1066;64.07555;263866;5;08-jul-04;20:09:18;30.988;14.035;4.54;0.331961240310078;0.9975;0.2505;0.077;31.047;6.841
TEL2004529_25;MFD_SETNO25;43.237967;64.172383;263867;83;08-jul-04;22:24:27;32.88;2.976;4.2535;0.0571168604651163;8.12;1.0025;9.654;32.888;6.4825
TEL2004529_25;MFD_SETNO25;43.237967;64.172383;263868;50;08-jul-04;22:24:27;32.5;2.117;4.5678;0.503223062015504;3.504;0.7925;4.328;NaN;NaN
TEL2004529_25;MFD_SETNO25;43.237967;64.172383;263869;25;08-jul-04;22:24:27;32.141;5.489;4.4004;1.26673391472868;1.078;0.367;0.084;NaN;NaN
TEL2004529_25;MFD_SETNO25;43.237967;64.172383;263870;5;08-jul-04;22:24:27;30.983;14.362;4.4982;0.642043217054264;1.283;0.262;0.0545;31.275;6.994
TEL2004529_26;MFD_SETNO26;43.578917;63.658;263871;223;09-jul-04;02:07:59;34.928;9.554;1.6144;0.607338178294573;NaN;NaN;NaN;34.922;2.2975
TEL2004529_26;MFD_SETNO26;43.578917;63.658;263872;50;09-jul-04;02:07:59;32.498;2.213;4.4645;0.919683527131783;NaN;NaN;NaN;NaN;NaN
TEL2004529_26;MFD_SETNO26;43.578917;63.658;263873;25;09-jul-04;02:07:59;32.013;7.599;4.1334;0.297788759689922;NaN;NaN;NaN;NaN;NaN
TEL2004529_26;MFD_SETNO26;43.578917;63.658;263874;5;09-jul-04;02:07:59;30.975;15.147;4.274;NaN;NaN;NaN;NaN;31.153;6.5745
TEL2004529_27;MFD_SETNO27;44.091967;63.429517;263875;163;09-jul-04;22:11:03;34.389;8.037;2.8053;0.0207697674418605;16.706;1.296;17.9005;34.373;5.3645
TEL2004529_27;MFD_SETNO27;44.091967;63.429517;263876;50;09-jul-04;22:11:03;32.467;2.219;4.2437;0.624690697674419;2.262;0.655;2.251;NaN;NaN
TEL2004529_27;MFD_SETNO27;44.091967;63.429517;263877;25;09-jul-04;22:11:03;32.203;7.863;3.8419;0.884978488372093;1.023;0.317;0.0675;NaN;NaN
TEL2004529_27;MFD_SETNO27;44.091967;63.429517;263878;5;09-jul-04;22:11:03;31.414;15.382;3.8226;0.248970930232558;0.998;0.2435;0.047;31.462;6.691
TEL2004529_28;MFD_SETNO28;44.054567;63.9639;263879;120;10-jul-04;01:20:38;33.129;3.741;4.1056;0.0588476744186047;9.631;0.983;10.256;33.092;6.0065
TEL2004529_28;MFD_SETNO28;44.054567;63.9639;263880;50;10-jul-04;01:20:38;32.271;2.015;4.3124;0.485870542635659;4.326;0.749;3.9325;NaN;NaN
TEL2004529_28;MFD_SETNO28;44.054567;63.9639;263881;25;10-jul-04;01:20:38;31.723;5.552;4.2831;0.763510852713178;1.0325;0.32;0.093;NaN;NaN
TEL2004529_28;MFD_SETNO28;44.054567;63.9639;263882;5;10-jul-04;01:20:38;31.168;14.193;4.2919;0.555280620155039;1.0835;0.2575;0.0775;31.245;6.679
TEL2004529_29;MFD_SETNO29;43.464617;64.281367;263883;200;10-jul-04;06:04:54;34.794;9.226;1.9821;NaN;24.01;1.593;22.234;34.792;2.3355
TEL2004529_29;MFD_SETNO29;43.464617;64.281367;263884;50;10-jul-04;06:04:54;32.134;1.258;4.3186;0.122044573643411;5.1165;0.8555;5.552;NaN;NaN
TEL2004529_29;MFD_SETNO29;43.464617;64.281367;263885;25;10-jul-04;06:04:54;32.082;5.077;4.1807;1.07585620155039;1.3915;0.428;0.6445;NaN;NaN
TEL2004529_29;MFD_SETNO29;43.464617;64.281367;263886;5;10-jul-04;06:04:54;31.204;14.189;4.2466;0.659395736434109;1.297;0.261;0.0825;31.277;6.33
TEL2004529_3;MFD_SETNO3;43.7632;62.618583;263468;151;06-jul-04;09:16:52;34.534;8.129;3.2328;NaN;12.979;1.253;15.964;34.534;4.168
TEL2004529_3;MFD_SETNO3;43.7632;62.618583;263469;50;06-jul-04;09:16:52;32.728;3.378;4.1868;1.17997131782946;1.2485;0.636;1.9205;NaN;NaN
TEL2004529_3;MFD_SETNO3;43.7632;62.618583;263470;25;06-jul-04;09:16:52;32.547;7.1;3.993;0.867625968992248;0.4745;0.391;0;NaN;NaN
TEL2004529_3;MFD_SETNO3;43.7632;62.618583;263471;5;06-jul-04;09:16:52;31.48;14.626;4.0378;0.302670542635659;0.298;0.28;0;31.443;5.8985
TEL2004529_30;MFD_SETNO30;43.62645;64.490867;263887;156;10-jul-04;08:52:31;32.026;7.31;3.2543;NaN;17.057;1.2655;16.154;34.181;3.689
TEL2004529_30;MFD_SETNO30;43.62645;64.490867;263888;50;10-jul-04;08:52:31;31.946;0.741;4.7021;0.109041279069767;4.7295;0.879;5.2035;NaN;NaN
TEL2004529_30;MFD_SETNO30;43.62645;64.490867;263889;25;10-jul-04;08:52:31;31.607;1.775;4.53;0.902331007751938;3.43;0.688;2.9395;NaN;NaN
TEL2004529_30;MFD_SETNO30;43.62645;64.490867;263890;5;10-jul-04;08:52:31;30.876;13.611;5.0727;0.815568410852713;1.645;0.2965;0.228;31.088;6.7685
TEL2004529_31;MFD_SETNO31;43.406133;64.562833;263891;81;10-jul-04;11:06:35;32.204;1.418;4.8892;0.114233720930233;6.0955;0.8945;5.949;32.219;6.945
TEL2004529_31;MFD_SETNO31;43.406133;64.562833;263892;50;10-jul-04;11:06:35;32.122;1.417;4.7894;0.154042441860465;5.3345;0.8685;5.1805;NaN;NaN
TEL2004529_31;MFD_SETNO31;43.406133;64.562833;263893;25;10-jul-04;11:06:35;32.059;3.546;4.3595;0.919683527131783;1.3605;0.268;0.0595;NaN;NaN
TEL2004529_31;MFD_SETNO31;43.406133;64.562833;263894;5;10-jul-04;11:06:35;30.812;13.154;4.59;0.659395736434109;1.429;0.25;0;30.88;6.559
TEL2004529_32;MFD_SETNO32;43.331983;64.653717;263895;83;10-jul-04;12:36:00;32.318;1.563;4.564;0.0986563953488372;6.261;0.887;6.2455;32.328;6.867
TEL2004529_32;MFD_SETNO32;43.331983;64.653717;263896;50;10-jul-04;12:36:00;32.138;1.588;4.4034;0.209916666666667;5.1345;0.857;5.3045;NaN;NaN
TEL2004529_32;MFD_SETNO32;43.331983;64.653717;263897;25;10-jul-04;12:36:00;31.906;5.799;4.4574;1.1973238372093;1.2425;0.38;0.3415;NaN;NaN
TEL2004529_32;MFD_SETNO32;43.331983;64.653717;263898;5;10-jul-04;12:36:00;30.924;13.728;4.5075;0.380779069767442;0.849;0.2255;0;30.947;6.3595
TEL2004529_33;MFD_SETNO33;43.12605;64.710517;263899;127;10-jul-04;15:00:01;32.896;3.235;4.2616;0.0328854651162791;9.133;1.015;10.4605;32.907;5.958
TEL2004529_33;MFD_SETNO33;43.12605;64.710517;263900;50;10-jul-04;15:00:01;32.093;1.132;4.5074;0.322197674418605;4.5995;0.827;5.29;NaN;NaN
TEL2004529_33;MFD_SETNO33;43.12605;64.710517;263901;25;10-jul-04;15:00:01;31.786;4.083;4.5156;0.615104651162791;1.865;0.427;0.613;NaN;NaN
TEL2004529_33;MFD_SETNO33;43.12605;64.710517;263902;5;10-jul-04;15:00:01;30.918;13.642;4.5471;0.375897286821705;0.7155;0.2355;0;30.967;6.3975
TEL2004529_34;MFD_SETNO34;42.94775;64.2624;263903;112;10-jul-04;18:03:14;33.375;4.735;3.8613;0.112281007751938;11.2175;1.1055;11.979;33.387;5.475
TEL2004529_34;MFD_SETNO34;42.94775;64.2624;263904;50;10-jul-04;18:03:14;32.454;1.861;4.3615;0.248970930232558;4.953;0.8485;5.814;NaN;NaN
TEL2004529_34;MFD_SETNO34;42.94775;64.2624;263905;25;10-jul-04;18:03:14;32.033;6.177;4.5279;0.676748255813953;1.039;0.41;0.211;NaN;NaN
TEL2004529_34;MFD_SETNO34;42.94775;64.2624;263906;5;10-jul-04;18:03:14;30.993;14.066;4.5179;0.244089147286822;0.6725;0.2425;0;31.059;6.6355
TEL2004529_35;MFD_SETNO35;42.974217;64.739283;263907;84;10-jul-04;20:54:30;32.344;1.837;4.6381;0.126926356589147;5.477;0.875;6.554;32.364;7.0145
TEL2004529_35;MFD_SETNO35;42.974217;64.739283;263908;50;10-jul-04;20:54:30;32.346;1.783;4.3372;0.151335271317829;5.432;0.8765;6.5105;NaN;NaN
TEL2004529_35;MFD_SETNO35;42.974217;64.739283;263909;25;10-jul-04;20:54:30;32;3.358;4.3108;1.07585620155039;2.7515;0.6415;2.4085;NaN;NaN
TEL2004529_35;MFD_SETNO35;42.974217;64.739283;263910;5;10-jul-04;20:54:30;31.005;13.895;4.3874;0.302670542635659;0.7265;0.25;0.0095;31.063;6.6025
TEL2004529_36;MFD_SETNO36;42.9181;64.652233;263911;89;10-jul-04;22:12:26;32.308;1.35;4.6121;0.117162790697674;5.806;0.934;7.115;32.32;8.103
TEL2004529_36;MFD_SETNO36;42.9181;64.652233;263912;50;10-jul-04;22:12:26;32.31;1.381;4.3717;0.141571705426357;5.5185;0.8975;6.218;NaN;NaN
TEL2004529_36;MFD_SETNO36;42.9181;64.652233;263913;25;10-jul-04;22:12:26;31.876;4.285;4.4643;1.28408643410853;1.334;0.445;0;NaN;NaN
TEL2004529_36;MFD_SETNO36;42.9181;64.652233;263914;5;10-jul-04;22:12:26;30.943;13.997;4.5279;0.28802519379845;0.629;0.2585;0;30.997;7.51
TEL2004529_37;MFD_SETNO37;43.12635;65.297733;263915;107;11-jul-04;02:15:47;32.526;2.085;4.6163;0.0450011627906977;6.851;0.951;8.064;32.538;7.6785
TEL2004529_37;MFD_SETNO37;43.12635;65.297733;263916;50;11-jul-04;02:15:47;31.984;1.315;4.7131;0.183466279069767;4.292;0.849;5.044;NaN;NaN
TEL2004529_37;MFD_SETNO37;43.12635;65.297733;263917;25;11-jul-04;02:15:47;31.548;5.534;4.8434;0.659395736434109;2.1895;0.63;2.2015;NaN;NaN
TEL2004529_37;MFD_SETNO37;43.12635;65.297733;263918;5;11-jul-04;02:15:47;30.926;12.235;4.9392;0.322197674418605;0.81;0.2885;0;31.101;8.2315
TEL2004529_39;MFD_SETNO39;43.374583;65.220617;263919;118;11-jul-04;08:03:11;32.674;2.541;4.4695;0.0346162790697674;8.6935;1.004;9.151;32.686;7.372
TEL2004529_39;MFD_SETNO39;43.374583;65.220617;263920;100;11-jul-04;08:03:11;32.616;2.377;4.5761;0.0346162790697674;7.685;0.9745;8.2825;NaN;NaN
TEL2004529_39;MFD_SETNO39;43.374583;65.220617;263921;80;11-jul-04;08:03:11;32.309;1.479;4.7654;0.0865406976744186;5.641;0.921;6.4345;NaN;NaN
TEL2004529_39;MFD_SETNO39;43.374583;65.220617;263922;60;11-jul-04;08:03:11;32.107;1.375;4.7728;0.126349418604651;4.7655;0.8755;5.437;NaN;NaN
TEL2004529_39;MFD_SETNO39;43.374583;65.220617;263923;50;11-jul-04;08:03:11;32.046;1.48;4.759;0.283143410852713;4.732;0.8115;4.783;NaN;NaN
