CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008830_12;MFD_SETNO12;43.095767;-63.78695;321189;25;07-jul-08;11:00:10;31.664;3.7638;4.88661;4.88661;3.7638;31.664
TEM2008830_12;MFD_SETNO12;43.095767;-63.78695;321190;4;07-jul-08;11:00:10;31.2632;14.3296;3.83383;3.83383;14.3296;31.2632
TEM2008830_120;MFD_SETNO120;43.971683;-58.682333;321582;180;22-jul-08;13:53:57;34.7085;7.1054;2.88149;2.88149;7.1054;34.7085
TEM2008830_120;MFD_SETNO120;43.971683;-58.682333;321583;51;22-jul-08;13:53:57;32.6932;2.3295;4.51763;4.51763;2.3295;32.6932
TEM2008830_120;MFD_SETNO120;43.971683;-58.682333;321584;26;22-jul-08;13:53:57;32.5324;9.448;4.28338;4.28338;9.448;32.5324
TEM2008830_120;MFD_SETNO120;43.971683;-58.682333;321585;5;22-jul-08;13:53:57;31.4347;15.0258;3.88349;3.88349;15.0258;31.4347
TEM2008830_121;MFD_SETNO121;44.056817;-58.685767;321586;101;22-jul-08;17:05:09;34.2808;6.4548;3.53964;3.53964;6.4548;34.2808
TEM2008830_121;MFD_SETNO121;44.056817;-58.685767;321587;50;22-jul-08;17:05:09;32.7159;2.2709;4.55485;4.55485;2.2709;32.7159
TEM2008830_121;MFD_SETNO121;44.056817;-58.685767;321588;26;22-jul-08;17:05:09;32.5654;2.7447;4.67092;4.67092;2.7447;32.5654
TEM2008830_121;MFD_SETNO121;44.056817;-58.685767;321589;6;22-jul-08;17:05:09;32.0462;11.2348;4.21686;4.21686;11.2348;32.0462
TEM2008830_122;MFD_SETNO122;44.12535;-58.8644;321590;96;22-jul-08;19:02:05;33.3696;3.8961;4.11408;4.11408;3.8961;33.3696
TEM2008830_122;MFD_SETNO122;44.12535;-58.8644;321591;51;22-jul-08;19:02:05;32.7701;2.4874;4.48815;4.48815;2.4874;32.7701
TEM2008830_122;MFD_SETNO122;44.12535;-58.8644;321592;26;22-jul-08;19:02:05;32.1954;6.7164;4.66652;4.66652;6.7164;32.1954
TEM2008830_122;MFD_SETNO122;44.12535;-58.8644;321593;5;22-jul-08;19:02:05;33.218;14.1067;3.37402;3.37402;14.1067;33.218
TEM2008830_123;MFD_SETNO123;44.142433;-58.9588;321594;125;22-jul-08;20:44:03;33.7481;4.9269;3.93434;3.93434;4.9269;33.7481
TEM2008830_123;MFD_SETNO123;44.142433;-58.9588;321595;51;22-jul-08;20:44:03;32.7464;2.282;4.55759;4.55759;2.282;32.7464
TEM2008830_123;MFD_SETNO123;44.142433;-58.9588;321596;24;22-jul-08;20:44:03;32.2713;5.048;4.91017;4.91017;5.048;32.2713
TEM2008830_123;MFD_SETNO123;44.142433;-58.9588;321597;5;22-jul-08;20:44:03;31.5597;16.2356;3.80691;3.80691;16.2356;31.5597
TEM2008830_124;MFD_SETNO124;44.33565;-59.1926;321598;220;22-jul-08;23:23:53;34.2889;4.4717;3.5765;3.5765;4.4717;34.2889
TEM2008830_124;MFD_SETNO124;44.33565;-59.1926;321599;50;22-jul-08;23:23:53;32.6002;3.4467;4.52288;4.52288;3.4467;32.6002
TEM2008830_124;MFD_SETNO124;44.33565;-59.1926;321600;26;22-jul-08;23:23:53;31.9619;7.9412;4.78371;4.78371;7.9412;31.9619
TEM2008830_124;MFD_SETNO124;44.33565;-59.1926;321601;5;22-jul-08;23:23:53;31.1913;16.809;3.72809;3.72809;16.809;31.1913
TEM2008830_125;MFD_SETNO125;44.243033;-59.671367;321602;204;23-jul-08;03:15:23;34.3391;4.4204;3.43619;3.43619;4.4204;34.3391
TEM2008830_125;MFD_SETNO125;44.243033;-59.671367;321603;51;23-jul-08;03:15:23;32.6289;3.7424;4.46623;4.46623;3.7424;32.6289
TEM2008830_125;MFD_SETNO125;44.243033;-59.671367;321604;25;23-jul-08;03:15:23;32.3833;7.6216;4.73223;4.73223;7.6216;32.3833
TEM2008830_125;MFD_SETNO125;44.243033;-59.671367;321605;6;23-jul-08;03:15:23;31.2566;16.7493;3.70315;3.70315;16.7493;31.2566
TEM2008830_126;MFD_SETNO126;44.30975;-59.53595;321606;148;23-jul-08;05:14:49;33.8501;4.3466;3.65525;3.65525;4.3466;33.8501
TEM2008830_126;MFD_SETNO126;44.30975;-59.53595;321607;50;23-jul-08;05:14:49;32.5988;3.0472;4.55566;4.55566;3.0472;32.5988
TEM2008830_126;MFD_SETNO126;44.30975;-59.53595;321608;26;23-jul-08;05:14:49;32.4184;5.85;4.66358;4.66358;5.85;32.4184
TEM2008830_126;MFD_SETNO126;44.30975;-59.53595;321609;6;23-jul-08;05:14:49;31.0655;16.9295;3.68932;3.68932;16.9295;31.0655
TEM2008830_127;MFD_SETNO127;44.609783;-59.62115;321610;57;23-jul-08;08:12:48;32.4015;2.1321;4.10472;4.10472;2.1321;32.4015
TEM2008830_127;MFD_SETNO127;44.609783;-59.62115;321611;25;23-jul-08;08:12:48;31.5846;3.3972;4.82903;4.82903;3.3972;31.5846
TEM2008830_127;MFD_SETNO127;44.609783;-59.62115;321612;6;23-jul-08;08:12:48;30.8093;16.7927;3.67811;3.67811;16.7927;30.8093
TEM2008830_128;MFD_SETNO128;44.636483;-59.436583;321613;93;23-jul-08;10:28:51;32.5017;1.1182;3.93213;3.93213;1.1182;32.5017
TEM2008830_128;MFD_SETNO128;44.636483;-59.436583;321614;51;23-jul-08;10:28:51;32.2947;1.3482;4.3376;4.3376;1.3482;32.2947
TEM2008830_128;MFD_SETNO128;44.636483;-59.436583;321615;25;23-jul-08;10:28:51;31.4707;5.1869;4.77776;4.77776;5.1869;31.4707
TEM2008830_128;MFD_SETNO128;44.636483;-59.436583;321616;5;23-jul-08;10:28:51;30.6893;16.8164;3.6729;3.6729;16.8164;30.6893
TEM2008830_129;MFD_SETNO129;44.50775;-59.01935;321617;51;23-jul-08;13:33:32;32.3352;1.9525;4.27406;4.27406;1.9525;32.3352
TEM2008830_129;MFD_SETNO129;44.50775;-59.01935;321618;26;23-jul-08;13:33:32;31.9684;3.4436;4.97324;4.97324;3.4436;31.9684
TEM2008830_129;MFD_SETNO129;44.50775;-59.01935;321619;5;23-jul-08;13:33:32;30.5724;17.0319;3.66003;3.66003;17.0319;30.5724
TEM2008830_13;MFD_SETNO13;42.9634;-64.014;321191;95;07-jul-08;13:10:46;32.3828;2.9031;4.12589;4.12589;2.9031;32.3828
TEM2008830_13;MFD_SETNO13;42.9634;-64.014;321192;50;07-jul-08;13:10:46;32.1607;2.6816;4.40162;4.40162;2.6816;32.1607
TEM2008830_13;MFD_SETNO13;42.9634;-64.014;321193;25;07-jul-08;13:10:46;31.3665;6.8469;4.68709;4.68709;6.8469;31.3665
TEM2008830_13;MFD_SETNO13;42.9634;-64.014;321194;5;07-jul-08;13:10:46;31.2584;15.435;3.70312;3.70312;15.435;31.2584
